Combinacion,Accuracy,Precision,Recall,F_score
alpha:0.01,0.7394,0.5449,0.5974,0.5537
alpha:0.02,0.7394,0.5449,0.5974,0.5537
alpha:0.03,0.7407,0.5459,0.5980,0.5547
alpha:0.04,0.7407,0.5459,0.5980,0.5547
alpha:0.05,0.7407,0.5459,0.5980,0.5547
alpha:0.06,0.7407,0.5459,0.5980,0.5547
alpha:0.07,0.7420,0.5500,0.6068,0.5600
alpha:0.08,0.7434,0.5538,0.6156,0.5648
alpha:0.09,0.7434,0.5538,0.6156,0.5648
alpha:0.1,0.7434,0.5544,0.6156,0.5650
alpha:0.11,0.7420,0.5530,0.6135,0.5635
alpha:0.12,0.7407,0.5519,0.6113,0.5618
alpha:0.13,0.7407,0.5519,0.6113,0.5618
alpha:0.14,0.7394,0.5515,0.6107,0.5610
alpha:0.15,0.7394,0.5515,0.6107,0.5610
alpha:0.16,0.7394,0.5515,0.6107,0.5610
alpha:0.17,0.7394,0.5515,0.6107,0.5610
alpha:0.18,0.7394,0.5515,0.6107,0.5610
alpha:0.19,0.7394,0.5515,0.6107,0.5610
alpha:0.2,0.7394,0.5515,0.6107,0.5610
alpha:0.21,0.7394,0.5521,0.6107,0.5612
alpha:0.22,0.7394,0.5521,0.6107,0.5612
alpha:0.23,0.7380,0.5516,0.6101,0.5604
alpha:0.24,0.7380,0.5510,0.6101,0.5602
alpha:0.25,0.7380,0.5510,0.6101,0.5602
alpha:0.26,0.7380,0.5510,0.6101,0.5602
alpha:0.27,0.7380,0.5510,0.6101,0.5602
alpha:0.28,0.7367,0.5506,0.6095,0.5594
alpha:0.29,0.7367,0.5506,0.6095,0.5594
alpha:0.3,0.7367,0.5506,0.6095,0.5594
alpha:0.31,0.7367,0.5506,0.6095,0.5594
alpha:0.32,0.7367,0.5506,0.6095,0.5594
alpha:0.33,0.7367,0.5506,0.6095,0.5594
alpha:0.34,0.7367,0.5506,0.6095,0.5594
alpha:0.35,0.7367,0.5512,0.6095,0.5596
alpha:0.36,0.7354,0.5501,0.6074,0.5579
alpha:0.37,0.7354,0.5501,0.6074,0.5579
alpha:0.38,0.7354,0.5501,0.6074,0.5579
alpha:0.39,0.7354,0.5501,0.6074,0.5579
alpha:0.4,0.7354,0.5501,0.6074,0.5579
alpha:0.41,0.7354,0.5501,0.6074,0.5579
alpha:0.42,0.7354,0.5501,0.6074,0.5579
alpha:0.43,0.7354,0.5501,0.6074,0.5579
alpha:0.44,0.7354,0.5501,0.6074,0.5579
alpha:0.45,0.7354,0.5501,0.6074,0.5579
alpha:0.46,0.7354,0.5501,0.6074,0.5579
alpha:0.47,0.7354,0.5501,0.6074,0.5579
alpha:0.48,0.7354,0.5501,0.6074,0.5579
alpha:0.49,0.7354,0.5501,0.6074,0.5579
alpha:0.5,0.7354,0.5501,0.6074,0.5579
alpha:0.51,0.7354,0.5501,0.6074,0.5579
alpha:0.52,0.7354,0.5501,0.6074,0.5579
alpha:0.53,0.7340,0.5491,0.6053,0.5563
alpha:0.54,0.7340,0.5491,0.6053,0.5563
alpha:0.55,0.7340,0.5491,0.6053,0.5563
alpha:0.56,0.7340,0.5491,0.6053,0.5563
alpha:0.57,0.7340,0.5491,0.6053,0.5563
alpha:0.58,0.7340,0.5491,0.6053,0.5563
alpha:0.59,0.7340,0.5491,0.6053,0.5563
alpha:0.6,0.7340,0.5491,0.6053,0.5563
alpha:0.61,0.7340,0.5491,0.6053,0.5563
alpha:0.62,0.7340,0.5491,0.6053,0.5563
alpha:0.63,0.7340,0.5491,0.6053,0.5563
alpha:0.64,0.7340,0.5491,0.6053,0.5563
alpha:0.65,0.7340,0.5491,0.6053,0.5563
alpha:0.66,0.7340,0.5491,0.6053,0.5563
alpha:0.67,0.7340,0.5491,0.6053,0.5563
alpha:0.68,0.7354,0.5505,0.6074,0.5578
alpha:0.69,0.7354,0.5505,0.6074,0.5578
alpha:0.7,0.7354,0.5505,0.6074,0.5578
alpha:0.71,0.7354,0.5505,0.6074,0.5578
alpha:0.72,0.7354,0.5505,0.6074,0.5578
alpha:0.73,0.7354,0.5505,0.6074,0.5578
alpha:0.74,0.7354,0.5508,0.6074,0.5577
alpha:0.75,0.7354,0.5508,0.6074,0.5577
alpha:0.76,0.7354,0.5508,0.6074,0.5577
alpha:0.77,0.7354,0.5508,0.6074,0.5577
alpha:0.78,0.7354,0.5508,0.6074,0.5577
alpha:0.79,0.7354,0.5508,0.6074,0.5577
alpha:0.8,0.7354,0.5508,0.6074,0.5577
alpha:0.81,0.7354,0.5508,0.6074,0.5577
alpha:0.82,0.7354,0.5508,0.6074,0.5577
alpha:0.83,0.7354,0.5508,0.6074,0.5577
alpha:0.84,0.7354,0.5508,0.6074,0.5577
alpha:0.85,0.7354,0.5508,0.6074,0.5577
alpha:0.86,0.7354,0.5508,0.6074,0.5577
alpha:0.87,0.7354,0.5508,0.6074,0.5577
alpha:0.88,0.7354,0.5508,0.6074,0.5577
alpha:0.89,0.7354,0.5508,0.6074,0.5577
alpha:0.9,0.7354,0.5508,0.6074,0.5577
alpha:0.91,0.7354,0.5508,0.6074,0.5577
alpha:0.92,0.7354,0.5508,0.6074,0.5577
alpha:0.93,0.7340,0.5497,0.6053,0.5560
alpha:0.94,0.7327,0.5487,0.6032,0.5544
alpha:0.95,0.7327,0.5487,0.6032,0.5544
alpha:0.96,0.7327,0.5487,0.6032,0.5544
alpha:0.97,0.7327,0.5487,0.6032,0.5544
alpha:0.98,0.7327,0.5487,0.6032,0.5544
alpha:0.99,0.7327,0.5487,0.6032,0.5544
alpha:1.0,0.7327,0.5487,0.6032,0.5544
